"국가별",1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021
"국가별",출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수)
"미국",3944046,-,-,-,3957829,-,-,-,-,-,-,-,4025933,-,-,-,4021726,-,-,-,-,-,-,-,4112052,-,-,-,-,-,-,-,4266000,-,-,-,-,-,-,-,4247694,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3952841,2021434,1931407,104.7,3932181,2012954,1919227,104.9,-,-,-,-,3978497,2036161,1942336,104.8,-,-,-,-,-,-,-,-,3791712,-,-,-,3747540,1917446,1830094,104.8,-,-,-,-,-,-,-,-
"남아메리카",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"칠레",257105,131234,125871,104.3,250674,128256,122418,104.8,-,-,-,-,-,-,-,-,238981,121975,117006,104.2,234486,119963,114523,104.8,-,-,-,-,230831,118534,112297,105.6,231383,118203,113180,104.4,240569,122952,117617,104.5,246581,125858,120723,104.3,252240,128659,123581,104.1,250643,127682,122961,103.8,247358,126555,120803,104.8,243635,124083,119552,103.8,242005,123402,118585,104.1,250997,128177,122802,104.4,244670,124713,119936,104.0,-,-,-,-,219186,111660,107501,103.9,221731,113039,108668,104.0,-,-,-,-,-,-,-,-,-,-,-,-
"콜롬비아",718880,-,-,-,-,-,-,-,734081,377341,356740,105.8,-,-,-,-,678388,347990,330398,105.3,711381,365261,346120,105.5,-,-,-,-,719533,370426,349107,106.1,711457,365169,346288,105.5,685859,352271,333588,105.6,702530,363100,339430,107.0,686045,353465,332580,106.3,-,-,-,-,665499,341406,324093,105.3,676835,347070,329765,105.2,-,-,-,-,669131,343163,325968,105.3,-,-,-,-,647521,332824,314617,105.8,656704,336576,320035,105.2,-,-,-,-,642660,329998,312605,105.6,-,-,-,-,-,-,-,-
"코스타리카",-,-,-,-,78526,-,-,-,-,-,-,-,-,-,-,-,71144,-,-,-,72938,-,-,-,72247,-,-,-,-,-,-,-,71291,-,-,-,73144,37471,35673,105.0,75187,38553,36634,105.2,75000,38277,36723,104.2,70922,36382,34540,105.3,73459,-,-,-,-,-,-,-,70550,36151,34399,105.1,71793,36719,35074,104.7,71819,36880,34939,105.6,70004,35419,34585,102.4,68816,35431,33385,106.1,68479,34868,33611,103.7,64287,32718,31569,103.6,57848,29367,28481,103.1,-,-,-,-
"유럽",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"오스트리아",81233,41712,39521,105.5,78138,39991,38147,104.8,-,-,-,-,75458,-,-,-,78399,-,-,-,76944,39542,37402,105.7,78968,40540,38428,105.5,78190,39878,38312,104.1,77914,39745,38169,104.1,76250,38940,37310,104.4,77752,40126,37626,106.6,76344,39072,37272,104.8,78742,40331,38411,105.0,78109,40395,37714,107.1,78952,40822,38130,107.1,79330,40953,38377,106.7,81722,42162,39560,106.6,84381,43604,40777,106.9,87675,45051,42624,105.7,87633,45253,42380,106.8,85535,43796,41739,104.9,84952,43580,41372,105.3,-,-,-,-,-,-,-,-
"벨기에",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,130100,66527,63573,104.6,128678,65884,62794,104.9,128051,-,-,-,125606,64371,61235,105.1,125014,64173,60841,105.5,122274,62561,59713,104.8,121896,62428,59468,105.0,119690,61179,58511,104.6,118319,60398,57921,104.3,116128,-,-,-,-,-,-,-,-,-,-,-
"체코",-,-,-,-,89471,45829,43642,105.0,-,-,-,-,90715,46616,44099,105.7,97878,50333,47545,105.9,93685,48131,45554,105.7,97664,50262,47402,106.0,102211,52453,49758,105.4,105831,54612,51219,106.6,114632,58475,56157,104.1,119570,61326,58244,105.3,118348,60368,57980,104.1,117153,60220,56933,105.8,108673,55789,52884,105.5,108576,55536,53040,104.7,106751,54702,52049,105.1,109860,56410,53450,105.5,110764,56817,53947,105.3,112663,57837,54826,105.5,114405,58671,55734,105.3,114036,58256,55780,104.4,112231,57585,54646,105.4,-,-,-,-,-,-,-,-
"덴마크",-,-,-,-,66232,33885,32347,104.8,-,-,-,-,65450,-,-,-,64149,-,-,-,64682,-,-,-,64609,33077,31532,104.9,64282,32827,31455,104.4,64984,33404,31580,105.8,64082,32815,31267,105.0,65038,33531,31507,106.4,62818,32261,30557,105.6,63411,32465,30946,104.9,58998,30014,28984,103.6,57916,29785,28131,105.9,55873,28590,27283,104.8,56870,29254,27616,105.9,58205,29848,28357,105.3,61614,31781,29833,106.5,61397,31467,29930,105.1,61476,31611,29865,105.8,61167,31519,29648,106.3,-,-,-,-,-,-,-,-
"에스토니아",-,-,-,-,-,-,-,-,13086,6834,6252,109.3,12632,-,-,-,13001,6619,6382,103.7,13036,6627,6409,103.4,-,-,-,-,14350,7486,6864,109.1,14877,7756,7121,108.9,15775,8100,7675,105.5,16028,8259,7769,106.3,15763,8022,7741,103.6,15825,8166,7659,106.6,14679,7555,7124,106.0,14056,7192,6864,104.8,13531,6901,6630,104.1,13551,6921,6630,104.4,13907,7172,6735,106.5,14053,7365,6688,110.1,13784,7191,6593,109.1,14367,7345,7022,104.6,14099,7212,6887,104.7,-,-,-,-,-,-,-,-
"핀란드",57108,29133,27975,104.1,-,-,-,-,-,-,-,-,56189,28701,27488,104.4,55555,28563,26992,105.8,56630,28839,27791,103.8,57758,29684,28074,105.7,57745,29400,28345,103.7,58840,30005,28835,104.1,58729,30136,28593,105.4,59530,30415,29115,104.5,60430,30795,29635,103.9,60980,31309,29671,105.5,59961,30546,29415,103.8,59493,30308,29185,103.8,58134,29858,28276,105.6,57232,29272,27960,104.7,55472,28469,27003,105.4,52814,26812,26002,103.1,50321,25674,24647,104.2,47577,24630,22947,107.3,45613,23186,22427,103.4,-,-,-,-,-,-,-,-
"프랑스",-,-,-,-,-,-,-,-,773395,396638,376757,105.3,770945,-,-,-,761630,389981,371649,104.9,-,-,-,-,767816,393477,374339,105.1,774355,396346,378009,104.9,796896,407846,389050,104.8,785985,402297,383688,104.9,796044,405569,390475,103.9,-,-,-,-,-,-,-,-,792996,405206,387790,104.5,790290,404774,385516,105.0,-,-,-,-,806101,411604,394497,104.3,-,-,-,-,-,-,-,-,-,-,-,-,719737,-,-,-,714052,-,-,-,-,-,-,-,-,-,-,-
"독일",-,-,-,-,-,-,-,-,766999,-,-,-,734475,377586,356889,105.8,-,-,-,-,706721,362709,344012,105.4,705622,362017,343605,105.4,685795,351757,334038,105.3,672724,345816,326908,105.8,684862,351839,333023,105.7,682514,349862,332652,105.2,665126,-,-,-,677947,347237,330710,105.0,662685,339899,322786,105.3,673544,345629,327915,105.4,682069,349820,332249,105.3,714927,366835,348092,105.4,737575,378478,359097,105.4,792137,405584,386553,104.9,784901,402517,382384,105.3,787523,404052,383471,105.4,778090,399292,378798,105.4,-,-,-,-,-,-,-,-
"그리스",100894,51992,48902,106.3,-,-,-,-,-,-,-,-,102282,-,-,-,-,-,-,-,104420,-,-,-,-,-,-,-,107545,55539,52006,106.8,112042,57739,54303,106.3,111926,57959,53967,107.4,118302,60966,57336,106.3,117933,60832,57101,106.5,-,-,-,-,106428,54862,51566,106.4,100371,51654,48717,106.0,94134,48430,45704,106.0,92149,47384,44765,105.9,91847,47294,44553,106.2,92898,47882,45016,106.4,88553,45686,42867,106.6,86440,44525,41915,106.2,83763,42945,40818,105.2,84767,-,-,-,-,-,-,-
"헝가리",97301,49956,47345,105.5,94645,48896,45749,106.9,-,-,-,-,96138,49562,46576,106.4,96001,49297,46704,105.6,94647,48863,45784,106.7,95137,48778,46359,105.2,97496,50327,47169,106.7,99871,51116,48755,104.8,97613,50033,47580,105.2,99149,50823,48326,105.2,96442,49565,46877,105.7,90335,46279,44056,105.0,88049,45390,42659,106.4,90269,46674,43595,107.1,89524,45995,43529,105.7,-,-,-,-,92135,47350,44785,105.7,95361,48959,46402,105.5,94646,48591,46055,105.5,93467,48008,45459,105.6,93100,47984,45116,106.4,-,-,-,-,-,-,-,-
"아이슬란드",4178,2130,2048,104.0,-,-,-,-,4315,2192,2123,103.3,4091,-,-,-,4049,2067,1982,104.3,4143,2102,2041,103.0,4234,-,-,-,4280,2183,2097,104.1,4415,2258,2157,104.7,4560,2359,2201,107.2,4835,2470,2365,104.4,5027,2561,2466,103.9,4907,2523,2384,105.8,4492,2326,2166,107.4,4533,2317,2216,104.6,4326,2129,2197,96.9,4375,2233,2142,104.2,4129,2119,2010,105.4,-,-,-,-,4071,2112,1959,107.8,4228,2242,1986,112.9,4452,2267,2185,103.8,-,-,-,-,-,-,-,-
